id,PitNextLap
439140,0.0076260889126188855
439141,0.01883013916344453
439142,0.008168032468822691
439143,0.2750907105591272
439144,0.8312823670125981
439145,0.2867249531124265
439146,0.0017251079505644462
439147,0.007586625655606722
439148,0.018191318810771347
439149,0.002383663068904377
439150,0.8289107392591324
439151,0.00782466428814106
439152,0.027874263216619337
439153,0.0016837417446014578
439154,0.0021244336795295795
439155,0.9708095090817922
439156,0.0044740555111330875
439157,0.02238089392655097
439158,0.012794303382469048
439159,0.32824361755102655
439160,0.5886119451657953
439161,0.003294819547176252
439162,0.009552249718008686
439163,0.9066841573652026
439164,0.8675722547854288
439165,0.0016721809414304927
439166,0.0031265353094188245
439167,0.001178834378160779
439168,0.0025122182310873937
439169,0.008390676217375787
439170,0.0028382942625694743
439171,0.8095549442452726
439172,0.0006078203254788795
439173,0.4643766653115061
439174,0.6200390493496175
439175,0.9756624994322398
439176,0.053988377421752935
439177,0.014367612571802477
439178,0.0006440291505749436
439179,0.003409761906028721
439180,0.46799251812339376
439181,0.40746880611050235
439182,0.014686335523445952
439183,0.01313715708063731
439184,0.05785655384382672
439185,0.006281139635035558
439186,0.002406055305155171
439187,0.0026585328766048993
439188,0.0067790984307263625
439189,0.0018871309791140445
439190,0.002770362715031101
439191,0.6604416656830939
439192,0.004485268510183655
439193,0.019155295443849446
439194,0.005792903715204298
439195,0.007118489042351447
439196,0.022419122592497277
439197,0.026634401812061458
439198,0.0038261936986127773
439199,0.8074281771375522
439200,0.005174502729483968
439201,0.7930216430602588
439202,0.008713219219367399
439203,0.002098974442594203
439204,0.000951536290379016
439205,0.0016098568029126088
439206,0.9763494724460149
439207,0.006872548752920789
439208,0.009628917558364885
439209,0.008581342473624411
439210,0.05437468895571066
439211,0.040999170157040986
439212,0.005638877781694103
439213,0.00915084933574207
439214,0.023517005734438715
439215,0.0016345850876101087
439216,0.00145198360313522
439217,0.36733477087206146
439218,0.0025860897838385958
439219,0.9595580443960334
439220,0.02150964260396623
439221,0.49329583408737054
439222,0.001355240171624226
439223,0.025325610287399693
439224,0.7965727873872757
439225,0.022391742115891063
439226,0.9627151210311842
439227,0.005737612014173967
439228,0.031424949481143064
439229,0.17244093454051812
439230,0.5654194259466566
439231,0.010796062831414216
439232,0.0036142775373203045
439233,0.009929789447929644
439234,0.04775656948794724
439235,0.0024289983164348487
439236,0.19772155340414768
439237,0.9143673394404259
439238,0.8251618618764004
439239,0.7532463788127041
439240,0.014639545029301074
439241,0.0027678843471076234
439242,0.005182481024897282
439243,0.0007126283940901686
439244,0.004617377349136702
439245,0.7611179716342927
439246,0.0013114977692810694
439247,0.8631654052196533
439248,0.004331479402280699
439249,0.002379140168585379
439250,0.005532780955720587
439251,0.3081503121948392
439252,0.3041199059641523
439253,0.003123688836869282
439254,0.014265898906117163
439255,0.008784457189774659
439256,0.0343570987186345
439257,0.050837657729042855
439258,0.0010211978665622035
439259,0.006024052370328271
439260,0.0004984356797931508
439261,0.026254680135498303
439262,0.2079843372573421
439263,0.0014538817160439272
439264,0.9403756522922212
439265,0.1997716191576136
439266,0.006331758654918323
439267,0.021345960586406053
439268,0.009257201215125509
439269,0.0005498075397143031
439270,0.04137995910065328
439271,0.0013239901077956868
439272,0.01036104727227434
439273,0.13418040836724815
439274,0.04188535326217962
439275,0.8069716513232422
439276,0.002073164762696436
439277,0.3960481298479323
439278,0.3228910396469023
439279,0.008342558388988643
439280,0.0023647704544872182
439281,0.002816708035339109
439282,0.6477374396270285
439283,0.007509822965778447
439284,0.014491437165535359
439285,0.01518876948321094
439286,0.0022880774187215235
439287,0.0017942062894117353
439288,0.3292463802343641
439289,0.000710601142648356
439290,0.002733073571221249
439291,0.009856599429130086
439292,0.02288149339596971
439293,0.0028153484876605396
439294,0.895546006340148
439295,0.9757126733043652
439296,0.08255550674728683
439297,0.916874433282402
439298,0.00438341033465617
439299,0.049868647026366356
439300,0.6233017296120968
439301,0.0018138472667290795
439302,0.008358094451447341
439303,0.0021307928017623625
439304,0.014663294056433462
439305,0.7439056189550776
439306,0.867649574737935
439307,0.8612287240786961
439308,0.0009024912035551762
439309,0.002351051817821793
439310,0.008721693301320152
439311,0.01255197976266393
439312,0.0013846463973001815
439313,0.017104660741089094
439314,0.051113807442594035
439315,0.011654897822485908
439316,0.007926239191152085
439317,0.016556872170696256
439318,0.010407416480391965
439319,0.0007667459305139148
439320,0.011433416716712634
439321,0.8068641933685093
439322,0.430138228843004
439323,0.0387022055196305
439324,0.009235432026063979
439325,0.0013148133603872886
439326,0.0030234083203674886
439327,0.007984318863630324
439328,0.006350383442122703
439329,0.007028578637085598
439330,0.011137500254280983
439331,0.0023617831648682446
439332,0.9640396660700303
439333,0.033876855552099516
439334,0.006584213026417756
439335,0.0008598983053363811
439336,0.801682059805688
439337,0.0006274023891369192
439338,0.022346866121917074
439339,0.12818642900608201
439340,0.8087782585938845
439341,0.06525590554503588
439342,0.887235034196085
